odds_team_name,espn_teamname,espn_teamid,conference,conf_grp
Florida Gulf Coast Eagles,Florida Gulf Coast Eagles,526,ASUN,LM
Stetson Hatters,Stetson Hatters,56,ASUN,LM
Central Arkansas Bears,Central Arkansas Bears,2110,ASUN,LM
South Alabama Jaguars,South Alabama Jaguars,6,Sun Belt,MM
Stony Brook Seawolves,Stony Brook Seawolves,2619,CAA,MM
Cal St Bakersfield Roadrunners,Cal State Bakersfield Roadrunners,2934,Big West,MM
Little Rock Trojans,Little Rock Trojans,2031,OVC,LM
UT Arlington Mavericks,UT Arlington Mavericks,250,WAC,MM
Southern Indiana Screaming Eagles,Southern Indiana Screaming Eagles,88,OVC,LM
UT Martin Skyhawks,UT Martin Skyhawks,2630,OVC,LM
Southeast Missouri St Redhawks,Southeast Missouri State Redhawks,2546,OVC,LM
Lipscomb Bisons,Lipscomb Bisons,288,ASUN,LM
Abilene Christian Wildcats,Abilene Christian Wildcats,2000,WAC,MM
Tarleton State Texans,Tarleton State Texans,2627,WAC,MM
Mercyhurst Lakers,Mercyhurst Lakers,2385,PSAC (DII),DII
Florida Atlantic Owls,Florida Atlantic Owls,2226,AAC,HM2
Purdue Fort Wayne Mastodons,Purdue Fort Wayne Mastodons,2870,Horizon League,MM
North Texas Mean Green,North Texas Mean Green,249,AAC,HM2
